klc_index,kanji,heisig,english
2268,褐,brown,"brown, woollen kimono "
2270,喝,hoarse,"hoarse, scold "
931,旨,delicious,"delicious, relish, show a liking for, purport, will, clever, expert "
1994,脂,fat,"fat, grease, tallow, lard, rosin, gum, tar "
1574,敏,cleverness,"cleverness, agile, alert "
1751,炊,cook,"cook, boil "
1638,諮,consult with,consult with 
1264,培,cultivate,"cultivate, foster "
1262,剖,divide,divide 
1061,盲,blind,"blind, blind man, ignoramus "
1064,荒,laid waste,"laid waste, rough, rude, wild "
1883,坊,boy,"boy, priest's residence, priest "
1996,肪,obese,"obese, fat "
1196,鋭,pointed,"pointed, sharpness, edge, weapon, sharp, violent "
1845,妊,pregnancy,pregnancy 
877,廷,courts,"courts, imperial court, government office "
343,虫,insect,"insect, bug, temper "
426,己,self,"self, snake, serpent "
457,包,wrap,"wrap, pack up, cover, conceal "
1984,胞,placenta,"placenta, sac, sheath "
665,砲,cannon,"cannon, gun "
666,泡,bubble,"bubbles, foam, suds, froth "
508,滝,waterfall,"waterfall, rapids, cascade "
218,豚,pork,"pork, pig "
2209,逐,pursue,"pursue, drive away, chase, accomplish, attain, commit "
2210,遂,consummate,"consummate, accomplish, attain, commit (suicide) "
2201,嫁,marry into,"marry into, bride "
2204,豪,overpowering,"overpowering, great, powerful, excelling, Australia "
1985,腸,intestines,"intestines, guts, bowels, viscera "
446,湯,hot water,"hot water, bath, hot spring "
490,羊,sheep,sheep 
493,鮮,fresh,"fresh, vivid, clear, brilliant, Korea "
2156,唯,solely,"solely, only, merely, simply "
1654,焦,char,"char, hurry, impatient, irritate, burn, scorch, singe "
1655,礁,reef,"reef, sunken rock "
713,准,quasi-,"quasi-, semi-, associate "
1788,雌,feminine,"feminine, female "
1131,歓,delight,"delight, joy "
418,羽,feathers,"feathers, counter for birds, rabbits "
419,翌,the following,"the following, next "
1328,濯,laundry,"laundry, wash, pour on, rinse "
1095,忍,endure,"endure, bear, put up with, conceal, secrete, spy, sneak "
644,忠,loyalty,"loyalty, fidelity, faithfulness "
1728,恩,grace,"grace, kindness, goodness, favor, mercy, blessing, benefit "
1557,憩,recess,"recess, rest, relax, repose "
581,恵,favor,"favor, blessing, grace, kindness "
1202,悦,ecstasy,"ecstasy, joy, rapture "
1396,恒,constancy,"constancy, always "
1866,悼,lament,"lament, grieve over "
326,悟,enlightenment,"enlightenment, perceive, discern, realize, understand "
1065,慌,disconcerted,"disconcerted, be confused, lose one's head "
1573,悔,repent,"repent, regret "
1225,憎,hate,"hate, detest "
947,愉,pleasure,"pleasure, happy, rejoice "
2217,惰,lazy,"lazy, laziness "
929,犠,sacrifice,sacrifice 
664,抱,embrace,"embrace, hug, hold in arms "
1955,拓,clear the land,"clear (the land), open, break up (land) "
1185,拍,clap,"clap, beat (music) "
1070,拘,arrest,"arrest, seize, concerned, adhere to, despite "
1784,拐,kidnap,"kidnap, falsify "
1069,括,fasten,"fasten, tie up, arrest, constrict "
933,揮,brandish,"brandish, wave, wag, swing, shake "
1117,掛,hang,"hang, suspend, depend, arrive at, tax, pour "
469,戒,commandment,commandment 
1558,鼻,nose,"nose, snout "
1658,隻,vessels,"vessels, counter for ships, fish, birds, arrows, one of a pair "
1659,獲,seize,"seize, get, find, earn, acquire, can, may, able to "
2052,殻,husk,"husk, nut shell "
965,枝,bough,"bough, branch, twig, limb "
1991,肢,limb,"limb, arms & legs "
1253,茎,stalk,"stalk, stem "
1255,怪,suspicious,"suspicious, mystery, apparition "
2045,寂,loneliness,"loneliness, quietly, mellow, mature, death of a priest "
201,爪,claw,"claw, nail, talon "
160,乳,milk,"milk, breasts "
2065,鉱,mineral,"mineral, ore "
1787,雄,masculine,"masculine, male, hero, leader, superiority, excellence "
2216,怠,neglect,"neglect, laziness "
1986,胎,womb,"womb, uterus "
1060,硫,sulfur,sulphur 
1709,訟,sue,"sue, accuse "
1034,谷,valley,valley 
1036,浴,bathe,"bathe, be favored with, bask in "
1040,裕,abundant,"abundant, rich, fertile "
2067,鉛,lead (metal),lead 
1348,沿,run alongside,"run alongside, follow along, run along, lie along "
595,皮,pelt,"pelt, skin, hide, leather "
1950,披,expose,"expose, open "
1090,殉,martyrdom,"martyrdom, follow by resigning "
841,殖,augment,"augment, increase, multiply, raise "
720,裂,split,"split, rend, tear "
717,葬,interment,"interment, bury, shelve "
963,瞬,wink,"wink, blink, twinkle "
1667,懐,pocket,"pocket, feelings, heart, yearn, miss someone, become attached to, bosom, breast "
1134,慢,ridicule,"ridicule, laziness "
1135,漫,loose,"cartoon, involuntarily, in spite of oneself, corrupt "
438,寧,rather,"rather, preferably "
2266,濁,voiced,"voiced, uncleanness, wrong, nigori, impurity "
1550,還,send back,"send back, return "
1168,潜,submerge,"submerge, conceal, hide, lower (voice), hush "
1211,迭,alternate,"transfer, alternation "
484,臣,retainer,"retainer, subject "
855,臨,look to,"look to, face, meet, confront, attend, call on "
2026,覧,perusal,"perusal, see "
1129,勧,persuade,"persuade, recommend, advise, encourage, offer "
1993,脇,armpit,"armpit, the other way, another place, flank, supporting role "
868,征,subjugate,"subjugate, attack the rebellious, collect taxes "
1254,径,diameter,"diameter, path, method "
1668,徳,benevolence,"benevolence, virtue, goodness, commanding respect "
992,街,boulevard,"boulevard, street, town "
1268,衡,equilibrium,"equilibrium, measuring rod, scale "
1580,稿,draft,"draft, copy, manuscript, straw "
2202,稼,earnings,"earnings, work, earn money "
2148,稚,immature,"immature, young "
1210,秩,regularity,"regularity, salary, order "
684,称,appellation,"appellation, praise, admire, name, title, fame "
1660,穫,harvest,"harvest, reap "
1314,穂,ear of a plant,"ear, ear (grain), head, crest (wave) "
1315,稲,rice plant,rice plant 
2053,穀,cereals,"cereals, grain "
1619,粉,flour,"flour, powder, dust "
1267,粘,sticky,"sticky, glutinous, greasy, persevere "
235,粒,grains,"grains, drop, counter for tiny particles "
1617,粧,cosmetics,"cosmetics, adorn (one's person) "
1618,糧,provisions,"provisions, food, bread "
243,竹,bamboo,bamboo 
392,筋,muscle,"muscle, sinew, tendon, fiber, plot, plan, descent "
1909,箱,box,"box, chest, case, bin, railway car "
1605,筆,writing brush,"writing brush, writing, painting brush, handwriting "
1838,筒,cylinder,"cylinder, pipe, tube, gun barrel, sleeve "
985,簿,register,"register, record book "
811,仏,Buddha,"Buddha, the dead, France "
1039,俗,vulgar,"vulgar, customs, manners, worldliness, mundane things "
1353,倣,emulate,"emulate, imitate "
1226,僧,Buddhist priest,"Buddhist priest, monk "
928,儀,ceremony,"ceremony, rule, affair, case, a matter "
1571,侮,scorn,"scorn, despise, make light of, contempt "
1361,伐,fell,"fell, strike, attack, punish "
1176,傑,greatness,"greatness, excellence "
702,袋,sack,"sack, bag, pouch "
1440,俊,sagacious,"sagacious, genius, excellence "
1884,傍,bystander,"bystander, side, besides, while, nearby, 3rd person "
1524,柄,design,"design, pattern, build, nature, handle, crank, grip, knob, shaft "
1242,宮,Shinto shrine,"shinto shrine, constellations, palace, princess "
572,旋,rotation,"rotation, go around "
1893,尿,urine,urine 
2117,泥,mud,"mud, mire, adhere to, be attached to "
2171,塀,fence,"fence, wall, (kokuji) "
1871,履,footgear,"footgear, shoes, boots, put on (the feet "
1536,握,grip,"grip, hold, mould sushi, bribe "
1835,掘,dig,"dig, delve, excavate "
1836,堀,ditch,"ditch, moat, canal "
255,居,reside,"reside, to be, exist, live with "
1535,据,set,"set, lay a foundation, install, equip, squat down, sit down "
1224,層,stratum,"stratum, social class, layer, story, floor "
2118,漏,leak,"leak, escape, time "
337,尺,shaku,"shaku, Japanese foot, measure, scale, rule "
338,尽,exhaust,"exhaust, use up, run out of, befriend, serve "
1504,沢,swamp,swamp 
248,戸,door,door 
1495,肩,shoulder,shoulder 
1887,扇,fan,"fan, folding fan "
1896,炉,hearth,"hearth, furnace, kiln, reactor "
636,宗,religion,"religion, sect, denomination, main point, origin, essence "
1645,崇,adore,"adore, respect, revere, worship "
1530,笛,flute,"flute, clarinet, pipe, whistle, bagpipe, piccolo "
1597,挿,insert,"insert, put in, graft, wear (sword) "
602,菓,candy,"candy, cakes, fruit "
1794,詐,lie,"lie, falsehood, deceive, pretend "
1313,穏,calm,"calm, quiet, moderation "
1014,浸,immersed,"immersed, soak, dip, steep, moisten, wet, dunk "
1016,掃,sweep,"sweep, brush "
979,浄,clean,"clean, purify, cleanse, exorcise, Manchu Dynasty "
1407,君,old boy,"old boy, name-suffix "
1408,群,flock,"flock, group, crowd, herd, swarm, cluster "
2109,耐,-proof,"-proof, enduring "
1218,惜,pity,"pity, be sparing of, frugal, stingy, regret "
1219,措,set aside,"set aside, give up, suspend, discontinue, lay aside, except "
1813,噴,erupt,"erupt, spout, emit, flush out "
1814,墳,tomb,"tomb, mound "
1815,憤,aroused,"aroused, resent, be indignant, anger "
1759,芝,turf,"turf, lawn "
559,矢,dart,"dart, arrow "
421,弓,bow,"bow, bow (archery, violin) "
1187,沸,seethe,"seethe, boil, ferment, uproar, breed "
1047,巧,adroit,"adroit, skilled, ingenuity "
1048,朽,decay,"decay, rot, remain in seclusion "
2025,誇,boast,"boast, be proud, pride, triumphantly "
2215,髄,marrow,"marrow, pith "
1487,渦,whirlpool,"whirlpool, eddy, vortex "
2213,随,follow,"follow, though, notwithstanding, while, during, both, all, obey, submit to, comply, at the mercy of (the waves) "
1263,陪,auxiliary,"obeisance, follow, accompany, attend on "
2214,附,affixed,"affixed, attach, refer to, append "
1374,陣,camp,"camp, battle array, ranks, position "
1312,隠,conceal,"conceal, hide, cover "
1375,陥,collapse,"collapse, fall into, cave in, fall (castle), slide into "
397,穴,hole,"hole, aperture, slit, cave, den "
1952,控,withdraw,"withdraw, draw in, hold back, refrain from, be moderate "
1565,窒,plug up,"plug up, obstruct "
909,浜,seacoast,"seacoast, beach, seashore "
112,糸,thread,thread 
1575,繁,luxuriant,"luxuriant, thick, overgrown, frequency, complexity, trouble "
2149,維,fiber,"fiber, tie, rope "
896,羅,gauze,"gauze, thin silk, Rome "
835,紡,spinning,spinning 
874,紳,sire,"sire, good belt, gentleman "
884,累,accumulate,"accumulate, involvement, trouble, tie up, continually "
211,綿,cotton,cotton 
212,絹,silk,silk 
610,縁,affinity,"affinity, relation, connection, edge, border, verge, brink "
2147,幼,infancy,"infancy, childhood "
470,幾,how many,"how many, how much, how far, how long "
2135,玄,mysterious,"mysterious, occultness "
2133,畜,livestock,"livestock, domestic fowl and animals "
2134,蓄,amass,"amass, keeping a concubine, phonograph "
2142,弦,bowstring,"bowstring, chord, hypotenuse "
2182,擁,hug,"hug, embrace, possess, protect, lead "
2181,磁,magnet,"magnet, porcelain "
1077,系,lineage,"lineage, system "
1079,孫,grandchild,"grandchild, descendants "
1080,懸,suspend,"suspend, hang, 10%, install, depend, consult "
734,脚,shins,"skids, leg, undercarriage "
2082,鈴,small bell,"small bell, buzzer "
1352,擬,mimic,"mimic, aim (a gun) at, nominate, imitate "
1351,凝,congeal,"congeal, freeze, stiff, be absorbed in "
732,腕,arm,"arm, ability, talent "
161,豆,beans,"beans, pea, midget "
2028,鑑,specimen,"specimen, take warning from, learn from "
1300,盛,boom,"boom, prosper, copulate "
1217,恨,resentment,"regret, bear a grudge, resentment, malice, hatred "
1092,眼,eyeball,eyeball 
1477,浪,wandering,"wandering, waves, billows "
1966,飢,hungry,"hungry, starve "
1965,餓,starve,"starve, hungry, thirst "
1963,飾,decorate,"decorate, ornament, adorn, embellish "
1964,飽,sated,"sated, tired of, bored, satiate "
1822,慨,rue,"rue, be sad, sigh, lament "
1403,坪,two-mat area,"two-mat area, ~36 sq ft "
1102,鈍,dull,"dull, slow, foolish, blunt "
1769,叫,shout,"shout, exclaim, yell "
2087,卑,lowly,"lowly, base, vile, vulgar "
2088,碑,tombstone,"tombstone, monument "
2164,該,above-stated,"above-stated, the said, that specific "
1662,譲,defer,"defer, turnover, transfer, convey "
131,麦,barley,"barley, wheat "
1569,喫,consume,"consume, eat, drink, smoke, receive (a blow) "
417,憲,constitution,"constitution, law "
431,姓,surname,surname 
930,牲,animal sacrifice,"animal sacrifice, offering "
1642,拝,worship,"worship, adore, pray to "
1544,寿,longevity,"longevity, congratulations, one's natural life "
1545,鋳,casting,"casting, mint "
2107,棒,rod,"rod, stick, cane, pole, club, line "
1731,嘆,sigh,"sigh, lament, moan, grieve "
1004,垂,droop,"droop, suspend, hang, slouch "
1008,睡,drowsy,"drowsy, sleep, die "
1311,陰,shade,"shade, yin, negative, sex organs, secret, shadow "
1006,兼,concurrently,"concurrently, and "
2059,謙,self-effacing,"self-effacing, humble oneself, condescend, be modest "
2056,廉,bargain,"bargain, reason, charge, suspicion, point, account, purity, honest, low price, cheap, rested, contented, peaceful "
784,漂,drift,"drift, float (on liquid) "
1870,覆,capsize,"capsize, cover, shade, mantle, be ruined "
1199,閲,review,"review, inspection, revision "
1362,閥,clique,"clique, lineage, pedigree, faction, clan "
792,閣,tower,"tower, tall building, palace "
1365,閑,leisure,leisure 
1491,潤,wet,"wet, be watered, profit by, receive benefits, favor, charm, steep "
1363,闘,fight,"fight, war "
740,俳,haiku,"haiku, actor "
1888,扉,front door,"front door, title page, front page "
659,偉,admirable,"admirable, greatness, remarkable, conceited, famous, excellent "
660,緯,horizontal,"horizontal, woof, left & right, latitude "
662,韓,Korea,Korea 
1980,肝,liver,"liver, pluck, nerve, chutzpah "
1931,瀬,rapids,"rapids, current, torrent, shallows, shoal "
1032,倹,frugal,"frugal, economy, thrifty "
1387,殴,assault,"assault, hit, beat, thrash "
1137,抑,repress,"repress, well, now, in the first place, push, shove, press, seal, do in spite of "
1138,仰,faceup,"face-up, look up, depend, seek, respect, rever, drink, take "
1139,迎,welcome,"welcome, meet, greet "
1055,澄,lucidity,"lucidity, be clear, clear, clarify, settle, strain, look grave "
953,僚,colleague,"colleague, official, companion "
955,寮,dormitory,"dormitory, hostel, villa, tea pavillion "
1500,湾,gulf,"gulf, bay, inlet "
2024,把,grasp,"grasp, faggot, bunch, counter for bundles "
2178,艶,glossy,"glossy, luster, glaze, polish, charm, colorful, captivating "
2023,肥,fertilizer,"fertilizer, get fat, fertile, manure, pamper "
2121,某,so-and-so,"so-and-so, one, a certain, that person "
2122,謀,conspire,"conspire, cheat, impose on, plan, devise, scheme, have in mind, deceive "
2123,媒,mediator,"mediator, go-between "
1795,欺,deceit,"deceit, cheat, delude "
573,旗,national flag,"national flag, banner, standard "
1519,宜,best regards,"best regards, good "
2008,繊,slender,"slender, fine, thin kimono "
1359,撲,slap,"slap, strike, hit, beat, tell, speak "
1358,僕,me,"me, I (male) "
883,翼,wing,"wing, plane, flank "
881,殿,Mr.,"Mr., hall, mansion, palace, temple, lord "
434,井,well,"well, well crib, town, community "
1643,耕,till,"till, plow, cultivate "
920,溝,gutter,"gutter, ditch, sewer, drain, 10**32 "
943,倫,ethics,"ethics, companion "
1081,偏,partial,"partial, side, left-side radical, inclining, biased "
1082,遍,everywhere,"everywhere, times, widely, generally "
1009,眠,sleep,"sleep, die, sleepy "
1409,郡,county,"county, district "
1366,脈,vein,"vein, pulse, hope "
2064,鍛,forge,"forge, discipline, train "
2145,幻,phantasm,"phantasm, vision, dream, illusion, apparition "
821,伺,pay respects,"pay respects, visit, ask, inquire, question, implore "
668,舟,boat,"boat, ship "
670,舶,liner,"liner, ship "
672,搬,conveyor,"conveyor, carry, transport "
2029,艦,warship,warship 
879,艇,rowboat,"rowboat, small boat "
1074,弧,arc,"arc, arch, bow "
1073,孤,orphan,"orphan, alone "
1861,衰,decline,"decline, wane, weaken "
1869,覇,hegemony,"hegemony, supremacy, leadership, champion "
1817,芽,bud,"bud, sprout, spear, germ "
1818,雅,gracious,"gracious, elegant, graceful, refined "
1506,釈,explanation,explanation 
1510,審,hearing,"hearing, judge, trial "
487,毛,fur,"fur, hair, feather, down "
1644,耗,decrease,decrease 
488,尾,tail,"tail, end, counter for fish, lower slope of mountain "
2021,帳,notebook,"notebook, account book, album "
1792,髪,hair of the head,hair of the head 
2075,鎖,chain,"chain, irons, connection "
2284,鶏,chicken,chicken 
1874,偶,accidentally,"accidentally, even number, couple, man & wife, same kind "
1877,遇,interview,"interview, treat, entertain, receive, deal with "
1878,愚,foolish,"foolish, folly, absurdity, stupid "
1875,隅,corner,"corner, nook "
2069,鋼,steel,steel 
1370,謡,Noh chanting,noh chanting 
1273,逸,elude,"deviate, idleness, leisure, miss the mark, evade, elude, parry, diverge "
1998,膚,skin,"skin, body, grain, texture, disposition "
2259,薦,recommend,"recommend, mat, advise, encourage, offer "
1848,辱,embarrass,"embarrass, humiliate, shame "
1846,娠,with child,"with child, pregnancy "
1847,唇,lips,lips 
2090,鬼,ghost,"ghost, devil "
2092,醜,ugly,"ugly, unclean, shame, bad looking "
2093,魂,soul,"soul, spirit "
2095,魔,witch,"witch, demon, evil spirit "
2094,魅,fascination,"fascination, charm, bewitch "
2091,塊,clod,"clod, lump, chink, clot, mass "
261,箇,item,counters for things 
2063,錬,tempering,"tempering, refine, drill, train, polish "
1356,俺,myself,"I, myself "
2245,匂,aroma,"fragrant, stink, glow, insinuate, (kokuji) "
1895,尻,buttocks,"buttocks, hips, butt, rear "
1537,揃,muster,"be complete, uniform, all present "
2119,氾,widespread,"spread out, wide "
2112,濡,drench,"get wet, damp, make love "
494,蘇,resurrect,"be resuscitated, revived "
2060,遜,modest,"humble, modest "
2229,桁,girder,"beam, girder, spar, unit or column (accounting) "
1724,梱,bale,"pack, tie up, bale "
1068,稀,sparse,"rare, phenomenal, dilute (acid) "
2081,綻,come apart at the seams,"be rent, ripped, unravel, run, begin to open, smile "
1229,賂,graft,bribe 
1488,鍋,pot,"pot, pan, kettle "
2077,鍵,key,key 
1364,闇,pitch dark,"get dark, gloom, disorder "
2173,餌,feed,"food, bait, prey, tempting profit "
551,歪,warped,"warp, bend, strained, distort "
436,丼,domburi,"bowl, bowl of food "
1683,冒,risk,"risk, face, defy, dare, damage, assume (a name) "
1685,唱,chant,"chant, recite, call upon, yell "
1686,晶,sparkle,"sparkle, clear, crystal "
1240,呂,spine,"spine, backbone "
2101,凹,concave,"concave, hollow, sunken "
2102,凸,convex,"convex, beetle brow, uneven "
1051,升,measuring box,"measuring box, 1.8 liter "
1867,貞,upright,"upright, chastity, constancy, righteousness "
156,頁,page,"page, leaf "
1918,頑,stubborn,"stubborn, foolish, firmly "
168,勺,ladle,"ladle, one tenth of a go, dip "
1522,乙,fish guts,"the latter, duplicate, strange, witty "
1158,貢,tribute,"tribute, support, finance "
1103,召,seduce,"seduce, call, send for, wear, put on, ride in, buy, eat, drink, catch (cold) "
1109,昭,shining,"shining, bright "
1913,頂,place on the head,"place on the head, receive, top of head, top, summit, peak "
1559,孔,cavity,"cavity, hole, slit, very, great, exceedingly "
2197,如,likeness,"likeness, like, such as, as if, better, best, equal "
1911,貫,pierce,"pierce, 8 1/3lbs, penetrate, brace "
1288,肖,resemblance,resemblance 
1902,涯,horizon,"horizon, shore "
1937,煩,anxiety,"anxiety, trouble, worry, pain, ill, annoy, nuisance, irksome "
531,里,ri,"ri, village, parent's home, league "
536,墨,black ink,"black ink, India ink, ink stick, Mexico "
2242,厘,rin,"rin, 1/10sen, 1/10bu "
533,埋,bury,"bury, be filled up, embedded "
1842,洞,den,"den, cave, excavation "
184,尚,esteem,"esteem, furthermore, still, yet "
1293,宵,wee hours,"wee hours, evening, early night "
1116,朴,crude,"crude, simple, plain, docile "
566,朱,vermilion,"vermilion, cinnabar, scarlet, red, bloody "
1823,苗,seedling,"seedling, sapling, shoot "
1830,桃,peach tree,peach tree 
762,黙,silence,"silence, become silent, stop speaking, leave as is "
766,狩,hunt,"hunt, raid, gather "
1825,猫,cat,cat 
1959,塔,pagoda,"pagoda, tower, steeple "
73,玉,jewel,"jewel, ball "
1207,珠,pearl,"pearl, gem, jewel "
736,狂,lunatic,"lunatic, insane, crazy, confuse "
77,皇,emperor,emperor 
587,呈,display,"display, offer, present, send, exhibit "
2230,栓,plug,"plug, bolt, cork, bung, stopper "
2068,銑,pig iron,pig iron 
690,軌,rut,"rut, wheel, track, model, way of doing "
1969,冠,crown,"crown, best, peerless "
1641,坑,pit,"pit, hole "
1421,享,receive,"receive, undergo, answer (phone), take, get, catch "
1437,塾,cram school,"cram school, private school "
1436,熟,mellow,"mellow, ripen, mature, acquire skill "
910,舎,cottage,"cottage, inn, hut, house, mansion "
514,吉,good luck,"good luck, joy, congratulations "
1589,壮,robust,"robust, manhood, prosperity "
1590,荘,villa,"villa, inn, cottage, feudal manor "
576,牧,breed,"breed, care for, shepherd, feed, pasture "
805,敬,awe,"awe, respect, honor, revere "
737,獄,prison,"prison, jail "
1107,詔,imperial edict,imperial edict 
1693,詠,recitation,"recitation, poem, song, composing "
946,諭,rebuke,"rebuke, admonish, charge, warn, persuade "
110,弐,II (two),"II, two, second "
1231,賊,burglar,"burglar, rebel, traitor, robber "
1584,桟,scaffold,"scaffold, cleat, frame, jetty, bolt (door) "
1585,銭,coin,"coin, .01 yen, money "
1923,頻,repeatedly,"repeatedly, recur "
1230,賦,levy,"levy, ode, prose, poem, tribute, installment "
1114,赴,proceed,"proceed, get, become, tend "
1678,是,just so,"just so, this, right, justice "
1680,堤,dike,"dike, bank, embankment "
1859,猿,monkey,monkey 
1687,帽,cap,"cap, headgear "
900,雷,thunder,"thunder, lightening bolt "
1908,霜,frost,frost 
1459,章,badge,"badge, chapter, composition, poem, design "
1418,帝,sovereign,"sovereign, the emperor, god, creator "
537,童,juvenile,"juvenile, child "
1120,嫡,legitimate wife,"legitimate wife, direct descent (non-bastard) "
1425,昆,descendants,"descendants, elder brother, insect "
2271,謁,audience,"audience, audience (with king) "
2115,壱,I (one),"I, one "
1572,梅,plum,plum 
1594,韻,rhyme,"rhyme, elegance, tone "
1455,妄,delusion,"delusion, unnecessarily, without authority, reckless "
1780,芳,perfumed,"perfume, balmy, flavorable, fragrant "
1688,棟,ridgepole,"ridgepole, ridge "
1962,賓,V.I.P.,"V.I.P., guest "
1244,蛍,lightning bug,"lightning-bug, firefly "
2297,蛇,snake,"snake, serpent, hard drinker "
2300,虹,rainbow,rainbow 
2292,蚕,silkworm,silkworm 
2195,妃,queen,"queen, princess "
1726,姻,matrimony,"matrimony, marry "
1958,壇,podium,"podium, stage, rostrum, terrace "
441,庁,government office,government office 
851,床,bed,"bed, floor, padding, tatami "
852,麻,hemp,"hemp, flax "
2100,磨,grind,"grind, polish, scour, improve, brush (teeth) "
1864,忌,mourning,"mourning, abhor, detestable, death anniversary "
779,憂,melancholy,"melancholy, grieve, lament, be anxious, sad, unhappy "
1961,寡,widow,"widow, minority, few "
1216,憾,remorse,"remorse, regret, be sorry "
1343,慕,pining,"pining, yearn for, love dearly, adore "
1894,泌,ooze,"ooze, flow, soak in, penetrate, secrete "
2099,摩,chafe,"chafe, rub, polish, grind, scrape "
1954,抹,rub,"rub, paint, erase "
1960,搭,board,"board, load (a vehicle), ride "
1744,抄,extract,"extract, selection, summary, copy, spread thin "
1308,揚,hoist,"hoist, fry in deep fat "
722,刑,punish,"punish, penalty, sentence, punishment "
657,丈,length,"length, 10feet, measure, Mr., Ms., height, stature, all (one has), only, that's all, merely "
886,吏,officer,"officer, an official "
58,又,or again,"or again, furthermore, on the other hand "
1498,双,pair,"pair, set, comparison, counter for pairs "
2291,桑,mulberry,mulberry 
2047,奴,guy,"guy, slave, manservant, fellow "
2043,叔,uncle,"uncle, youth "
2044,淑,graceful,"graceful, gentle, pure "
615,奨,exhort,"exhort, urge, encourage "
1441,唆,tempt,"tempt, seduce, instigate, promote "
1833,拙,bungling,"bungling, clumsy, unskillful "
968,岐,branch off,"branch off, fork in road, scene, arena, theater "
969,峠,mountain peak,"mountain peak, mountain pass, climax, crest, (kokuji) "
1651,嵐,storm,"storm, tempest "
1333,崎,promontory,"promontory, cape, spit "
1919,頒,partition,"distribute, disseminate, partition, understand "
242,松,pine tree,pine tree 
1451,翁,venerable old man,venerable old man 
320,堂,public chamber,"public chamber, hall "
324,掌,manipulate,"manipulate, rule, administer, conduct, palm of hand "
1452,婆,old woman,"old woman, grandma, wet nurse "
719,烈,ardent,"ardent, violent, vehement, furious, severe, extreme "
589,聖,holy,"holy, saint, sage, master, priest "
809,敢,daring,"daring, sad, tragic, pitiful, frail, feeble "
742,罰,penalty,"penalty, punishment "
1953,扶,aid,"aid, help, assist "
2285,渓,mountain stream,"mountain stream, valley "
2196,姫,princess,princess 
2032,賢,intelligent,"intelligent, wise, wisdom, cleverness "
2034,堅,strict,"strict, hard, solid, tough, tight, reliable "
1743,劣,inferiority,"inferiority, be inferior to, be worse "
2037,励,encourage,"encourage, be diligent, inspire "
1172,賀,congratulations,"congratulations, joy "
1173,架,erect,"erect, frame, mount, support, shelf, construct "
2191,懲,penal,"penal, chastise, punish, discipline "
1316,愁,distress,"distress, grieve, lament, be anxious "
1781,香,incense,"incense, smell, perfume "
1417,菊,chrysanthemum,chrysanthemum 
1957,楼,watchtower,"watchtower, lookout, high building "
1002,漆,lacquer,"lacquer, varnish, seven "
2218,佐,assistant,"assistant, help "
1393,但,however,"however, but "
1677,悠,remote,"permanence, distant, long time, leisure "
1850,伏,prostrated,"prostrated, bend down, bow, cover, lay (pipes) "
1184,伯,chief,"chief, count, earl, uncle, Brazil "
1901,佳,excellent,"excellent, beautiful, good, pleasing, skilled "
388,侍,waiter,"waiter, samurai, wait upon, serve "
1868,偵,spy,spy 
1003,仙,hermit,"hermit, wizard, cent "
1094,仁,humanity,"humanity, virtue, benevolence, charity, man, kernel "
703,褒,praise,"praise, extol "
2243,畝,furrow,"furrow, 30 tsubo, ridge, rib "
1722,囚,captured,"captured, criminal, arrest, catch "
1523,丙,third class,"third class, 3rd, 3rd calendar sign "
2183,腐,rot,"rot, decay, sour "
753,傘,umbrella,umbrella 
2244,匁,monme,"monme, 3.75 grams, (kokuji) "
2169,瓶,flower pot,"flower pot, bottle, vial, jar, jug, vat, urn "
1213,善,virtuous,"virtuous, good, goodness "
2203,塚,hillock,"hillock, mound "
2224,幣,cash,"cash, bad habit, humble prefix, gift, shinto offerings of cloth, rope, cut paper "
2223,弊,abuse,"abuse, evil, vice, breakage "
1270,喚,yell,"yell, cry, scream "
444,賜,grant,"grant, gift, boon, results "
2116,尼,nun,nun 
1890,顧,look back,"look back, review, examine oneself, turn around "
1738,啓,disclose,"disclose, open, say "
496,祥,auspicious,"auspicious, happiness, good omen "
2124,尉,military officer,"military officer, jailer, old man, rank "
2125,慰,consolation,"consolation, amusement, seduce, cheer, make sport of, comfort, console "
2051,款,goodwill,"goodwill, article, section, friendship, collusion "
1532,襟,collar,"collar, neck, lapel "
2098,擦,grate,"grate, rub, scratch, scrape, chafe, scour "
692,軸,axis,"axis, pivot, stem, stalk, counter for book scrolls "
1521,甲,armor,"armor, high (voice), A grade, first class, former, instep, carapace "
1335,岬,headland,"headland, cape, spit, promontory "
711,裸,naked,"naked, nude, uncovered, partially clothed "
193,斤,ax,"axe, 1.32 lb, catty, counter for loaves of bread "
640,祈,pray,"pray, wish "
1703,哲,philosophy,"philosophy, clear "
1702,逝,departed,"departed, die "
1701,誓,vow,"vow, swear, pledge "
1706,暫,temporarily,"temporarily, a while, moment, long time "
1705,漸,steadily,"steadily, gradually advancing, finally, barely "
1707,斥,reject,"reject, retreat, recede, withdraw, repel, repulse "
1636,尋,inquire,"inquire, fathom, look for "
1615,唐,T'ang,"T'ang, China "
2113,儒,Confucian,Confucian 
1879,曹,cadet,"cadet, friend "
1880,遭,encounter,"encounter, meet, party, association, interview, join "
1881,槽,vat,"vat, tub, tank "
757,斗,Big Dipper,"Big Dipper, 10 sho (vol), sake dipper "
1612,庸,comfortable,"commonplace, ordinary, employment "
1739,庶,commoner,"commoner, all, bastard "
1740,遮,intercept,"intercept, interrupt, obstruct "
